Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
Pieter S. Gerbrandy	https://www.dbnl.org/auteurs/auteur.php?id=gerb005	gerb005	Pieter Sjoerds	Gerbrandy	Pieter S. Gerbrandy	1885-04-13	Goënga	Zuid-Afrika	1961-xx-xx	Den Haag	Nederland	male	staatsman/bestuurder/politicus	19e/20e Eeuw		nonfictie/zuidafrika		bestuurder/ambtman	1.0/1.0	1.0
Rob Nieuwenhuys	https://www.dbnl.org/auteurs/auteur.php?id=nieu018	nieu018	Rob	Nieuwenhuys	E. Breton de Nijs/Rob Nieuwenhuys	1908-06-30	Semarang	Indonesië	1999-11-07	Amsterdam	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
J.D. Meerwaldt	https://www.dbnl.org/auteurs/auteur.php?id=meer036	meer036	Johannes David	Meerwaldt	J.D. Meerwaldt	1888-03-16	Amsterdam	Nederland	1966-07-04	Amsterdam	Nederland	male	leraar/classicus/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/oudheidkundige/leraar/docent	2.0/2.0/2.0/2.0	2.0
James S. (Jim) Holmes	https://www.dbnl.org/auteurs/auteur.php?id=holm007	holm007	James Stratton	Holmes	Jacob Lowland/James S. (Jim) Holmes	1924-05-02	Collins	Verenigde Staten	1986-11-06	Amsterdam	Nederland	male	vertaler	Twintigste Eeuw	nl	secundair		vertaler	4.0	4.0
Dirk Volker Nijland	https://www.dbnl.org/auteurs/auteur.php?id=nijl001	nijl001	Dirk Volker	Nijland	Dirk Volker Nijland/G. van de Walcheren	1914-xx-xx			1985-xx-xx			male	kunsthistoricus/kunsthandelaar	Twintigste Eeuw	nl	secundair		kunsthandelaar	4.0	4.0
Max Croiset	https://www.dbnl.org/auteurs/auteur.php?id=croi001	croi001	Maxim	Croiset	Max Croiset	1912-08-13	Blaricum	Nederland	1993-04-07	Den Haag	Nederland	male	toneelspeler	Twintigste Eeuw	nl			toneelspeler	4.0	4.0
Cees Nooteboom	https://www.dbnl.org/auteurs/auteur.php?id=noot003	noot003	Cornelis Johannes Jacobus Maria	Nooteboom	Cees Nooteboom	1933-07-31	Den Haag	Nederland				male	vertaler	20e/21e Eeuw	nl			vertaler	4.0	4.0
M.H.J. Verjans	https://www.dbnl.org/auteurs/auteur.php?id=verj003	verj003	M.H.J.	Verjans	M.H.J. Verjans							male		Twintigste Eeuw		secundair				
Nel Noordzij	https://www.dbnl.org/auteurs/auteur.php?id=noor022	noor022	Pieternella Margaretha	Noordzij	Nel Noordzij	1923-10-17	Rotterdam	Nederland	2003-09-07	Thonon-les-Bains	Frankrijk	female		20e/21e Eeuw	nl	secundair				
G. Quispel	https://www.dbnl.org/auteurs/auteur.php?id=quis001	quis001	Gilles	Quispel	G. Quispel	1916-05-30	Rotterdam	Nederland	2006-03-02		Egypte	male	theoloog	20e/21e Eeuw		nonfictie		theoloog	2.0	2.0
Lies Wolters	https://www.dbnl.org/auteurs/auteur.php?id=wolt041	wolt041	Lies	Wolters	Lies Wolters	1913-xx-xx						female		Twintigste Eeuw						
Bernhard prins der Nederlanden	https://www.dbnl.org/auteurs/auteur.php?id=bern052	bern052	Bernhard Leopold Frederik Everhard Julius Coert...	Bernhard prins der Nederlanden	Bernhard prins der Nederlanden/Bernhard van Lippe-Bisterfeld	1911-06-29	Jena	Duitsland	2004-12-01	Utrecht	Nederland	male		Twintigste Eeuw		nonfictie				
Fernán Silva Valdés	https://www.dbnl.org/auteurs/auteur.php?id=silv014	silv014	Fernán	Silva Valdés	Fernán Silva Valdés	1887-10-15	Montevideo	Uruguay	1975-01-09	Montevideo	Uruguay	male	jongleur/musicus/minstreel	Twintigste Eeuw	sp	buitenland		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
J.A. van Praag	https://www.dbnl.org/auteurs/auteur.php?id=praa002	praa002	Jonas Andries	van Praag	J.A. van Praag	1895-02-26	Amsterdam	Nederland	1969-10-30	Amsterdam	Nederland	male	leraar/letterkundige (NIET-neerl.)/hoogleraar/vertaler/docent	Twintigste Eeuw	nl	secundair		vertaler/letterkundige/hoogleraar/leraar/docent	4.0/2.0/2.0/2.0/2.0	2.0
Pablo Neruda	https://www.dbnl.org/auteurs/auteur.php?id=neru003	neru003	Pablo	Neruda	Neftalí Ricardo Eliecer Reyes Basoalto/Pablo Neruda	1904-07-12	Parral	Chili	1973-09-23	Santiago	Chili	male		Twintigste Eeuw						
Ventura García Calderón	https://www.dbnl.org/auteurs/auteur.php?id=garc005	garc005	Ventura	García Calderón	Ventura García Calderón	1886-02-23	Parijs	Frankrijk	1959-10-27	Parijs	Frankrijk	male	diplomaat	Twintigste Eeuw		buitenland		diplomaat	1.0	1.0
José Gorostiza	https://www.dbnl.org/auteurs/auteur.php?id=goro002	goro002	José	Gorostiza	José Gorostiza/José Gorostiza Alcalá	1901-xx-xx	Mexico	Mexico	1973-xx-xx			male		Twintigste Eeuw		buitenland				
A. Methöfer	https://www.dbnl.org/auteurs/auteur.php?id=meth009	meth009	A.	Methöfer	A. Methöfer	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Rufino Blanco Fombona	https://www.dbnl.org/auteurs/auteur.php?id=blan057	blan057	Rufino	Blanco Fombona	Rufino Blanco Fombona	1874-06-17	Venezuela	Venezuela	1944-10-17	Buenos Aires	Argentinië	male	staatsman/bestuurder/politicus	Twintigste Eeuw		buitenland		bestuurder/ambtman	1.0/1.0	1.0
Joaquín E. Weiss y Sánchez	https://www.dbnl.org/auteurs/auteur.php?id=weis016	weis016	Joaquín E.	Weiss y Sánchez	Joaquín E. Weiss y Sánchez	1894-xx-xx			1968-xx-xx			male		Twintigste Eeuw		nonfictie/buitenland				
Menotti del Picchia	https://www.dbnl.org/auteurs/auteur.php?id=picc005	picc005	Paulo Menotti	del Picchia	Menotti del Picchia	1892-03-20	São Paolo	Brazilië	1988-08-23	São Paolo	Brazilië	male	schilder/redacteur/journalist	Twintigste Eeuw	pt	buitenland		journalist/redacteur/schilder	2.0/2.0/9.0	2.0
Martha de Castro	https://www.dbnl.org/auteurs/auteur.php?id=cast056	cast056	Martha	de Castro	Martha de Castro	1912-xx-xx						female		Twintigste Eeuw		nonfictie/buitenland				
W.H. van Helsdingen	https://www.dbnl.org/auteurs/auteur.php?id=hels014	hels014	Willem Henri	van Helsdingen	W.H. van Helsdingen	1888-03-04	Ambon	Indonesië	1985-11-03	Den Haag	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl	nonfictie		advocaat/jurist	2.0/2.0	2.0
A.I. Spits	https://www.dbnl.org/auteurs/auteur.php?id=spit010	spit010	A.I.	Spits	A.I. Spits	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
E.P.M. Tervooren	https://www.dbnl.org/auteurs/auteur.php?id=terv005	terv005	Eduard Pieter Marie	Tervooren	E.P.M. Tervooren							male		Twintigste Eeuw		suriname				
A. Jonkers	https://www.dbnl.org/auteurs/auteur.php?id=jonk023	jonk023	Arie	Jonkers	A. Jonkers							male		Twintigste Eeuw		nonfictie				
R.A.J. van Lier	https://www.dbnl.org/auteurs/auteur.php?id=lier005	lier005	Rudolf Asueer Jacob	van Lier	R. van Aart/R.A.J. van Lier	1914-08-24	Paramaribo	Suriname	1987-05-28	Wageningen	Nederland	male	letterkundige (NIET-neerl.)/archeoloog/historicus	Twintigste Eeuw	nl	suriname		letterkundige/antropoloog/oudheidkundige	2.0/2.0/2.0	2.0
J. van de Walle	https://www.dbnl.org/auteurs/auteur.php?id=wall006	wall006	Johan	van de Walle	Ary van Putten/J. van de Walle	1912-03-02	Den Haag	Nederland	2000-06-06	Hertogenbosch	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	suriname		redacteur/journalist	2.0/2.0	2.0
Henk Dennert	https://www.dbnl.org/auteurs/auteur.php?id=denn005	denn005	Henk	Dennert	Henk Dennert	19xx-xx-xx						male		Twintigste Eeuw						
W.J. Jansen	https://www.dbnl.org/auteurs/auteur.php?id=jans235	jans235	W.J.	Jansen	W.J. Jansen	1918-xx-xx						male		Twintigste Eeuw						
Frans Debrabandere	https://www.dbnl.org/auteurs/auteur.php?id=debr001	debr001	Frans	Debrabandere	Frans Debrabandere/Frans de Brabandere	1933-05-18	Kuurne	België (Vlaanderen)				male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	taalkunde/nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
E.H. Kossmann	https://www.dbnl.org/auteurs/auteur.php?id=koss002	koss002	Ernst Heinrich	Kossmann	E.H. Kossmann	1922-01-31	Leiden	Nederland	2003-11-08	Groningen	Nederland	male	archeoloog/historicus	Twintigste Eeuw	nl	secundair/nonfictie		antropoloog/oudheidkundige	2.0/2.0	2.0
Piet Apol	https://www.dbnl.org/auteurs/auteur.php?id=apol001	apol001	Pieter	Apol	Piet Apol	1915-04-12	Amsterdam	Nederland	1957-03-29	Amsterdam	Nederland	male	illustrator/ambtenaar/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl			tekenaar/ambtenaar/illustrateur/beeldhouwer	4.0/5.0/4.0/4.0	4.0
Th. Govaart	https://www.dbnl.org/auteurs/auteur.php?id=gova001	gova001	Theodorus Bernardus (Theo)	Govaart	Th. Govaart	1921-12-25	Leiden	Nederland	2013-01-16	Breda	Nederland	male		20e/21e Eeuw	nl	secundair				
J.M. de Jong	https://www.dbnl.org/auteurs/auteur.php?id=jong223	jong223	Johannes Marie	de Jong	J.M. de Jong	1911-12-23	Leiden	Nederland	1968-10-12	Düsseldorf	Duitsland	male	theoloog	Twintigste Eeuw		nonfictie		theoloog	2.0	2.0
Arie de Froe	https://www.dbnl.org/auteurs/auteur.php?id=froe001	froe001	Arie	de Froe	Arie de Froe	1907-01-07	Arnhem	Nederland	1992-10-30	Amsterdam	Nederland	male	filosoof/apotheker/medicus	Twintigste Eeuw	nl	taalkunde		doctor in de filosofie/apotheker/medicus	2.0/2.0/2.0	2.0
Franz Hellens	https://www.dbnl.org/auteurs/auteur.php?id=hell009	hell009	Franz	Hellens	Franz Hellens	1881-09-08	Brussel	België (Brussel)	1972-02-03	Brussel	België (Brussel)	male		19e/20e Eeuw	fr	secundair				
Marcel Coole	https://www.dbnl.org/auteurs/auteur.php?id=cool003	cool003	Marcel Jozef	Coole	Marcel Coole	1913-08-21	Kortrijk	België (Vlaanderen)	2000-02-11	Brussel	België (Brussel)	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Bert van Aerschot	https://www.dbnl.org/auteurs/auteur.php?id=aers001	aers001	Bert Jules	van Aerschot	Bert van Aerschot	1917-03-03	Lier	België (Vlaanderen)	2001-11-xx	Mechelen	België (Vlaanderen)	male		Twintigste Eeuw	nl					
Paul Snoek	https://www.dbnl.org/auteurs/auteur.php?id=snoe004	snoe004	Paul	Snoek	Edmond Schietekat/Esox Luxius/Paul Snoek	1933-12-17	Sint-Niklaas	België (Vlaanderen)	1981-10-19	Tielt	België (Vlaanderen)	male	illustrator/schilder/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl			tekenaar/illustrateur/beeldhouwer/schilder	4.0/4.0/4.0/9.0	4.0
Elisabeth Eybers	https://www.dbnl.org/auteurs/auteur.php?id=eybe001	eybe001	Elisabeth Françoise	Eybers	Elisabeth Eybers	1915-02-16	Klerksdorp	Zuid-Afrika	2007-12-01	Amsterdam	Nederland	female		20e/21e Eeuw	nl	zuidafrika				
Willem Elsschot	https://www.dbnl.org/auteurs/auteur.php?id=elss001	elss001	Willem	Elsschot	Alfons J. de Ridder/Alphons de Ridder/Willem Elsschot	1882-05-07	Antwerpen	België (Vlaanderen)	1960-05-31	Antwerpen	België (Vlaanderen)	male	zakenman/indust./journalist/redacteur/koopman	Twintigste Eeuw	nl			zakenman/industrieel/redacteur/koopman/journalist	4.0/1.0/2.0/4.0/2.0	1.0
J. Bruyn	https://www.dbnl.org/auteurs/auteur.php?id=bruy067	bruy067	J.	Bruyn	J. Bruyn	1906-xx-xx						male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw		nonfictie		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Reindert Jacobsen	https://www.dbnl.org/auteurs/auteur.php?id=jaco024	jaco024	Reindert	Jacobsen	Reindert Jacobsen	1876-xx-xx			1962-xx-xx			male		Twintigste Eeuw	nl	secundair				
E.M. Janssen Perio	https://www.dbnl.org/auteurs/auteur.php?id=jans099	jans099	Evert Maarten	Janssen Perio	E.M. Janssen Perio	1927-06-20			2009-09-09			male	archeoloog/historicus	20e/21e Eeuw	nl	nonfictie		antropoloog/oudheidkundige	2.0/2.0	2.0
Ary Delen	https://www.dbnl.org/auteurs/auteur.php?id=dele002	dele002	Adriaan Jan Jozef	Delen	Adriaan Jan Jozef Delen/Ary Delen	1883-03-10	Leuven	België (Vlaanderen)	1960-06-17	Antwerpen	België (Vlaanderen)	male	kunsthistoricus/kunsthandelaar	19e/20e Eeuw	nl	secundair/jeugdliteratuur		kunsthandelaar	4.0	4.0
Gerrit-Hugo Pronk	https://www.dbnl.org/auteurs/auteur.php?id=pron008	pron008	Gerrit-Hugo	Pronk	Gerrit-Hugo Pronk	1935-xx-xx						male		Twintigste Eeuw						
Aleida Gerarda Schot	https://www.dbnl.org/auteurs/auteur.php?id=scho123	scho123	Aleida Gerarda	Schot	Aleida Gerarda Schot	1900-07-09	Amsterdam	Nederland	1969-06-08	Amsterdam	Nederland	female	vertaler	Twintigste Eeuw	nl	secundair		vertaler	4.0	4.0
Willem van Elden	https://www.dbnl.org/auteurs/auteur.php?id=elde005	elde005	Willem	van Elden	Willem van Elden	1899-04-15	Den Haag	Nederland	1983-xx-xx			male	advocaat/jurist/vertaler	Twintigste Eeuw	nl	secundair		advocaat/vertaler/jurist	2.0/4.0/2.0	2.0
Antonio Machado	https://www.dbnl.org/auteurs/auteur.php?id=mach023	mach023	Antonio	Machado	Antonio Machado/Antonio Machado y Ruiz	1875-xx-xx	Spanje	Spanje	1939-xx-xx			male		Twintigste Eeuw		buitenland				
Martin Adán	https://www.dbnl.org/auteurs/auteur.php?id=adan002	adan002	Martin	Adán	Martin Adán/Rafael de la Fuente Benavides	1907-xx-xx	Peru	Peru	1985-xx-xx			male		Twintigste Eeuw		buitenland				
Manuel Bandeira	https://www.dbnl.org/auteurs/auteur.php?id=band003	band003	Manuel	Bandeira	Manuel Bandeira/Manuel Carneiro de Sousa Bandeira	1886-04-19	Recife	Brazilië	1968-10-13	Rio de Janeiro	Brazilië	male	letterkundige (NIET-neerl.)	Twintigste Eeuw		buitenland		letterkundige	2.0	2.0
Augusto Roa Bastos	https://www.dbnl.org/auteurs/auteur.php?id=roab001	roab001	Augusto Antonio	Roa Bastos	Augusto Roa Bastos	1917-06-13	Iturbe	Paraguay	2005-04-26	Asunción	Paraguay	male		Twintigste Eeuw		buitenland				
Carlos Drummond de Andrade	https://www.dbnl.org/auteurs/auteur.php?id=drum001	drum001	Carlos	Drummond de Andrade	Carlos Drummond/Carlos Drummond de Andrade	1902-10-31	Itabira	Brazilië	1987-08-17	Rio de Janeiro	Brazilië	male	letterkundige (NIET-neerl.)/redacteur/journalist	Twintigste Eeuw		buitenland		letterkundige/redacteur/journalist	2.0/2.0/2.0	2.0
Cecília Meireles	https://www.dbnl.org/auteurs/auteur.php?id=meir010	meir010	Cecília	Meireles	Cecília Meireles/Cecília Meireles Benevides de Carvalho	1901-11-07	Rio de Janeiro	Brazilië	1964-11-09	Rio de Janeiro	Brazilië	female		Twintigste Eeuw		buitenland				
José-Maria de Heredia	https://www.dbnl.org/auteurs/auteur.php?id=here014	here014	José-Maria	de Heredia	José-Maria de Heredia	1842-11-22	La Fortuna	Cuba	1905-10-02		Frankrijk	male		19e/20e Eeuw		buitenland				
Jules Supervielle	https://www.dbnl.org/auteurs/auteur.php?id=supe005	supe005	Jules	Supervielle	Jules Supervielle	1884-01-16	Montevideo	Uruguay	1960-05-17	Parijs	Frankrijk	male		Twintigste Eeuw		buitenland				
Erik Lindegren	https://www.dbnl.org/auteurs/auteur.php?id=lind082	lind082	Erik Johann	Lindegren	Erik Lindegren	1910-08-05	Luleå	Zweden	1968-05-31	Stockholm	Zweden	male		Twintigste Eeuw		buitenland				
Amy van Marken	https://www.dbnl.org/auteurs/auteur.php?id=mark011	mark011	Amelia	van Marken	Amy van Marken	1912-06-21	Hilversum	Nederland	1995-06-15	Amsterdam	Nederland	female	leraar/letterkundige (NIET-neerl.)/hoogleraar/vertaler/docent	Twintigste Eeuw	nl	secundair		vertaler/letterkundige/hoogleraar/leraar/docent	4.0/2.0/2.0/2.0/2.0	2.0
Sybren Polet	https://www.dbnl.org/auteurs/auteur.php?id=pole001	pole001	Sybren	Polet	Sybe Minnema/Sybren Polet	1924-06-19	Kampen	Nederland	2015-07-19	Amsterdam	Nederland	male		20e/21e Eeuw	nl	taalkunde				
Gunnar Ekelöf	https://www.dbnl.org/auteurs/auteur.php?id=ekel005	ekel005	Berngt Gunnar	Ekelöf	Gunnar Ekelöf	1907-xx-xx			1968-xx-xx			male		Twintigste Eeuw		buitenland				
Artur Lundkvist	https://www.dbnl.org/auteurs/auteur.php?id=lund008	lund008	Artur	Lundkvist	Artur Lundkvist	1906-03-03	Oderljunga	Zweden	1991-12-11	Stockholm	Zweden	male		Twintigste Eeuw		buitenland				
Edith Södergran	https://www.dbnl.org/auteurs/auteur.php?id=sode001	sode001	Edith	Södergran	Edith Södergran	1892-04-04	Raivola	Finland	1923-06-24	Rosjtsjino	Rusland	female		Twintigste Eeuw	fi	buitenland				
August von Platen	https://www.dbnl.org/auteurs/auteur.php?id=plat015	plat015	August	von Platen	August von Platen/Karl August Georg Maximilian von Platen-Hallermünde	1796-xx-xx			1835-xx-xx			male		Negentiende Eeuw		buitenland				
Attila József	https://www.dbnl.org/auteurs/auteur.php?id=jozs001	jozs001	Attila	József	Attila József	1905-xx-xx						male		Twintigste Eeuw		buitenland				
A. Kibédi Varga	https://www.dbnl.org/auteurs/auteur.php?id=kibe001	kibe001	Sándor Aron	Kibédi Varga	A. Kibédi Varga	1930-02-04	Szeged	Hongarije		Freiburg im Breisgau	Duitsland	male	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	20e/21e Eeuw	fr	taalkunde/buitenland		letterkundige/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0	2.0
Sándor Weöres	https://www.dbnl.org/auteurs/auteur.php?id=weor001	weor001	Sándor	Weöres	Sándor Weöres	1913-06-22	Szombatheley	Hongarije		Boedapest	Hongarije	male		Twintigste Eeuw		buitenland				
David Rokeah	https://www.dbnl.org/auteurs/auteur.php?id=roke003	roke003	David	Rokeah	David Rokeah	1916-xx-xx			1985-xx-xx			male		Twintigste Eeuw		buitenland				
Pham Van Ky	https://www.dbnl.org/auteurs/auteur.php?id=ky__001	ky__001	Pham	Van Ky	Pham Van Ky	19xx-xx-xx						male		Twintigste Eeuw		buitenland				
Makhali-Phal	https://www.dbnl.org/auteurs/auteur.php?id=makh002	makh002		Makhali-Phal	Makhali-Phal/Nelly-Pierette Guesde	1898-09-21	Phnom Penh	Cambodja	1965-xx-xx			female								
Pierre Brachin	https://www.dbnl.org/auteurs/auteur.php?id=brac005	brac005	Pierre Maurice François	Brachin	Pierre Brachin	1914-xx-xx			2004-xx-xx			male		Twintigste Eeuw	nl	secundair				
Waring Cuney	https://www.dbnl.org/auteurs/auteur.php?id=cune003	cune003	William Waring	Cuney	Waring Cuney	1906-05-06	Washington D.C.	Verenigde Staten	1976-06-30			male		Twintigste Eeuw		buitenland				
Leslie M. Collins	https://www.dbnl.org/auteurs/auteur.php?id=coll046	coll046	Leslie Morgan	Collins	Leslie M. Collins	1914-10-14	Alexandria	Verenigde Staten	2014-02-23			male	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Twintigste Eeuw	en	secundair/buitenland		letterkundige/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0	2.0
Owen Dodson	https://www.dbnl.org/auteurs/auteur.php?id=dods001	dods001	Owen Vincent	Dodson	Owen Dodson	1914-11-28	Brooklyn	Verenigde Staten	1983-06-21	New York	Verenigde Staten	male	leraar/docent/hoogleraar	Twintigste Eeuw		buitenland		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Don Maquis	https://www.dbnl.org/auteurs/auteur.php?id=maqu002	maqu002	Don	Maquis	Don Maquis	19xx-xx-xx						male		Twintigste Eeuw		buitenland				
Charles Causley	https://www.dbnl.org/auteurs/auteur.php?id=caus002	caus002	Charles	Causley	Charles Causley	1917-08-24	Launceston	Groot-Brittannië (en Noord-Ierland)	2003-11-04			male		Twintigste Eeuw		buitenland				
S.A. Bonebakker	https://www.dbnl.org/auteurs/auteur.php?id=bone005	bone005	Seeger Adrianus	Bonebakker	S.A. Bonebakker	1923-09-21	Varsseveld	Nederland	2005-11-19	Utrecht	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Ed. de Jonghe	https://www.dbnl.org/auteurs/auteur.php?id=jong037	jong037	Édouard	de Jonghe	Ed. de Jonghe	1878-xx-xx			1950-xx-xx			male		Twintigste Eeuw		nonfictie				
Pieter Lieftinck	https://www.dbnl.org/auteurs/auteur.php?id=lief021	lief021	Pieter	Lieftinck	Pieter Lieftinck	1902-xx-xx			1989-xx-xx			male		Twintigste Eeuw		nonfictie				
J. Prins	https://www.dbnl.org/auteurs/auteur.php?id=prin051	prin051	J.	Prins	J. Prins	1903-xx-xx			1995-xx-xx			male		Twintigste Eeuw		nonfictie				
Egbert Krispyn	https://www.dbnl.org/auteurs/auteur.php?id=kris002	kris002	Egbert	Krispyn	Egbert Krispyn	1930-xx-xx	Haarlem	Nederland				male	letterkundige (NIET-neerl.)	20e/21e Eeuw	de	secundair		letterkundige	2.0	2.0
A. van der Schalk	https://www.dbnl.org/auteurs/auteur.php?id=scha210	scha210	A.	van der Schalk	A. van der Schalk	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Charley Toorop	https://www.dbnl.org/auteurs/auteur.php?id=toor006	toor006	Annie Caroline Pontifex	Toorop	A.C.P. Fernhout-Toorop/Charley Toorop	1891-03-24	Katwijk	Nederland	1955-11-05	Bergen	Nederland	female	illustrator/schilder/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	nonfictie		tekenaar/illustrateur/beeldhouwer/schilder	4.0/4.0/4.0/9.0	4.0
J.H. Leopold	https://www.dbnl.org/auteurs/auteur.php?id=leop004	leop004	J.H.	Leopold	J.H. Leopold	1865-05-11	Hertogenbosch	Nederland	1925-06-21	Rotterdam	Nederland	male	leraar/classicus/docent/hoogleraar	19e/20e Eeuw	nl			hoogleraar/oudheidkundige/leraar/docent	2.0/2.0/2.0/2.0	2.0
John Rädecker	https://www.dbnl.org/auteurs/auteur.php?id=rade006	rade006	Johannes Anton	Rädecker	John Rädecker	1885-09-05	Amsterdam	Nederland	1956-01-12	Amsterdam	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw		nonfictie		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Evert Straat	https://www.dbnl.org/auteurs/auteur.php?id=stra001	stra001	Evert	Straat	Evert Straat	1899-xx-xx			1972-xx-xx			male		Twintigste Eeuw						
Paul Rodenko	https://www.dbnl.org/auteurs/auteur.php?id=rode006	rode006	Paul	Rodenko	Paul Rodenko	1920-11-26	Den Haag	Nederland	1976-06-09	Warnsveld	Nederland	male		Twintigste Eeuw	nl					
S. de Danser	https://www.dbnl.org/auteurs/auteur.php?id=dans004	dans004	Simon	de Danser	S. de Danser/Simon Dali-Capitan (kapitein Duivel)/Simon Dansa/Simon Dantsiger/Simon Simonsz./Simon dAnser	ca. 1577-xx-xx	Dordrecht	Nederland	1610-xx-xx	Tunis	Tunesië	male	zeevarende	Periode 1550-1700		nonfictie		zeevarende	11.0	11.0
Claudine Witsen Elias	https://www.dbnl.org/auteurs/auteur.php?id=wits037	wits037	Claudine	Witsen Elias	Claudine Witsen Elias	1897-xx-xx			1987-xx-xx			female		Twintigste Eeuw						
Dick Voerman	https://www.dbnl.org/auteurs/auteur.php?id=voer009	voer009	Dick	Voerman	Dick Voerman	1920-xx-xx			1967-xx-xx			male		Twintigste Eeuw		secundair				
Li Tai Po	https://www.dbnl.org/auteurs/auteur.php?id=lita001	lita001		Li Tai Po	Li Bai/Li Po/Li Tai Po/Li Taibai	ca. 0701-xx-xx		Kirgizië	0762-xx-xx		China	male								
Wang-seng-yoe	https://www.dbnl.org/auteurs/auteur.php?id=wang003	wang003		Wang-seng-yoe	Wang-seng-yoe	05xx-xx-xx						male								
Tu Fu	https://www.dbnl.org/auteurs/auteur.php?id=tufu001	tufu001		Du Fu	Du Fu/Thoe Foe	0712-xx-xx			0770-xx-xx			male								
Su Tung po	https://www.dbnl.org/auteurs/auteur.php?id=sutu001	sutu001		Su Tung po	Soe Toeng Po/Su Shi/Su Tung po	1036-xx-xx			1101-xx-xx			male								
Gerrit Borgers	https://www.dbnl.org/auteurs/auteur.php?id=borg006	borg006	Gerrit	Borgers	Gerrit Borgers/Jaap Mulder/Julius v.d. Heide	1917-09-18	Brummen	Nederland	1987-01-15	Leidschendam	Nederland	male	journalist/leraar/hoogleraar/redacteur/docent	Twintigste Eeuw	nl	secundair/suriname		redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
